dim_1,dim_2,gene,0,1
209.0,1851.0,CD14,204.97316495659038,1864.382004735596
210.0,377.0,CD14,213.4509394572025,384.60960334029227
210.0,1594.0,CD11c,207.67662753468517,1607.0917822838846
211.0,1472.0,CD11c,221.50138504155126,1455.4418282548477
211.0,1603.0,CD11c,207.67662753468517,1607.0917822838846
211.0,1921.0,CD11c,228.38987688098496,1935.749658002736
212.0,1280.0,CD14,178.47302904564316,1294.6856846473029
212.0,1468.0,CD14,221.50138504155126,1455.4418282548477
212.0,1664.0,CD11c,225.3859784283513,1637.3520801232667
214.0,1594.0,CD11c,207.67662753468517,1607.0917822838846
215.0,941.0,CD11c,201.78179824561403,924.4506578947369
215.0,1540.0,CD11c,199.59302325581396,1548.8081395348838
215.0,1571.0,CD11c,199.59302325581396,1548.8081395348838
215.0,1602.0,CD11c,207.67662753468517,1607.0917822838846
215.0,1855.0,CD14,204.97316495659038,1864.382004735596
215.0,1859.0,CD11c,204.97316495659038,1864.382004735596
216.0,476.0,CD14,212.5791610284168,456.660351826793
216.0,908.0,CD14,227.62345679012347,926.5432098765432
219.0,391.0,CD14,213.4509394572025,384.60960334029227
219.0,1650.0,CD14,225.3859784283513,1637.3520801232667
220.0,379.0,CD14,213.4509394572025,384.60960334029227
220.0,485.0,CD14,223.67792792792793,504.97747747747746
220.0,704.0,CD11c,232.7529761904762,682.8333333333334
220.0,1470.0,CD14,221.50138504155126,1455.4418282548477
220.0,1596.0,CD11c,207.67662753468517,1607.0917822838846
220.0,1618.0,CD11c,207.67662753468517,1607.0917822838846
220.0,1648.0,CD14,225.3859784283513,1637.3520801232667
221.0,371.0,CD14,213.4509394572025,384.60960334029227
221.0,686.0,CD11c,232.7529761904762,682.8333333333334
222.0,379.0,CD14,213.4509394572025,384.60960334029227
222.0,607.0,CD14,221.6842878120411,593.9001468428781
222.0,689.0,CD11c,232.7529761904762,682.8333333333334
222.0,1407.0,CD14,222.21681415929203,1406.929203539823
222.0,1548.0,CD11c,199.59302325581396,1548.8081395348838
222.0,1625.0,CD11c,225.3859784283513,1637.3520801232667
223.0,1465.0,CD11c,221.50138504155126,1455.4418282548477
223.0,1894.0,CD11c,204.97316495659038,1864.382004735596
224.0,1192.0,CD11c,348.43971985992994,903.2766383191596
224.0,1352.0,CD11c,225.4910891089109,1312.7
224.0,1602.0,CD11c,207.67662753468517,1607.0917822838846
224.0,1655.0,CD14,225.3859784283513,1637.3520801232667
224.0,1891.0,CD11c,204.97316495659038,1864.382004735596
225.0,701.0,CD11c,232.7529761904762,682.8333333333334
225.0,793.0,CD14,236.38770685579198,797.7966903073286
225.0,1561.0,CD11c,249.9405450041288,1586.44921552436
226.0,884.0,CD11c,232.371974522293,886.6025477707007
226.0,1566.0,CD11c,249.9405450041288,1586.44921552436
226.0,1570.0,CD11c,249.9405450041288,1586.44921552436
226.0,1608.0,CD11c,207.67662753468517,1607.0917822838846
226.0,1640.0,CD14,225.3859784283513,1637.3520801232667
227.0,676.0,CD11c,232.7529761904762,682.8333333333334
227.0,678.0,CD11c,232.7529761904762,682.8333333333334
227.0,681.0,CD11c,232.7529761904762,682.8333333333334
227.0,685.0,CD11c,232.7529761904762,682.8333333333334
227.0,1563.0,CD11c,249.9405450041288,1586.44921552436
228.0,515.0,CD14,223.67792792792793,504.97747747747746
228.0,518.0,CD14,223.67792792792793,504.97747747747746
228.0,688.0,CD11c,232.7529761904762,682.8333333333334
228.0,1194.0,CD11c,348.43971985992994,903.2766383191596
228.0,1348.0,CD11c,225.4910891089109,1312.7
228.0,1557.0,CD14,249.9405450041288,1586.44921552436
229.0,744.0,CD11c,232.40441176470588,757.6893382352941
229.0,897.0,CD11c,232.371974522293,886.6025477707007
229.0,1198.0,CD11c,348.43971985992994,903.2766383191596
